data1,data2,data3,data4,data5,data6,data7,data8
FF,FF,FF,FF,FF,FF,FF,FF
7A,73,04,64,79,FF,6F,00
02,73,04,64,89,FF,6E,00
0A,73,04,64,88,FF,6E,00
12,73,04,64,87,FF,6E,00
1A,73,04,64,86,FF,6E,00
22,73,04,64,84,FF,6F,00
2A,73,04,64,83,FF,6F,00
32,73,04,64,84,FF,6D,00
3A,73,04,64,83,FF,6D,00
42,73,04,64,81,FF,6E,00
4A,73,04,64,80,FF,6E,00
52,73,04,64,80,FF,6D,00
5A,73,04,64,7F,FF,6D,00
62,73,04,64,7E,FF,6D,00
6A,73,04,64,7D,FF,6D,00
72,73,04,64,7D,FF,6C,00
7A,73,04,64,7C,FF,6C,00
02,73,04,64,8D,FF,6A,00
0A,73,04,64,8C,FF,6A,00
12,73,04,64,8B,FF,6A,00
1A,73,04,64,8A,FF,6A,00
22,73,04,64,87,FF,6C,00
2A,73,04,64,86,FF,6C,00
32,73,04,64,85,FF,6C,00
3A,73,04,64,84,FF,6C,00
42,73,04,64,86,FF,69,00
4A,73,04,64,85,FF,69,00
52,73,04,64,83,FF,6A,00
5A,73,04,64,82,FF,6A,00
62,73,04,64,83,FF,68,00
6A,73,04,64,82,FF,68,00
02,73,04,64,8B,FF,6C,00
0A,73,04,64,8A,FF,6C,00
22,73,04,64,85,FF,6E,00
2A,73,04,64,84,FF,6E,00
32,73,04,64,82,FF,6F,00
3A,73,04,64,81,FF,6F,00
42,73,04,64,7F,FF,70,00
4A,73,04,64,7E,FF,70,00
52,73,04,64,7B,FF,72,00
5A,73,04,64,7A,FF,72,00
62,73,04,64,78,FF,73,00
6A,73,04,64,77,FF,73,00
72,73,04,64,75,FF,74,00
7A,73,04,64,74,FF,74,00
02,73,04,64,83,FF,74,00
0A,73,04,64,82,FF,74,00
12,73,04,64,7D,FF,78,00
1A,73,04,64,7C,FF,78,00
22,73,04,64,7A,FF,79,00
2A,73,04,64,79,FF,79,00
32,73,04,64,78,FF,79,00
3A,73,04,64,77,FF,79,00
42,73,04,64,75,FF,7A,00
4A,73,04,64,74,FF,7A,00
52,73,04,64,72,FF,7B,00
5A,73,04,64,71,FF,7B,00
62,73,04,64,6F,FF,7C,00
6A,73,04,64,6E,FF,7C,00
72,73,04,64,6D,FF,7C,00
7A,73,04,64,6C,FF,7C,00
02,73,04,64,7B,FF,7C,00
0A,73,04,64,7A,FF,7C,00
12,73,04,64,79,FF,7C,00
1A,73,04,64,78,FF,7C,00
22,73,04,64,78,FF,7B,00
2A,73,04,64,77,FF,7B,00
32,73,04,64,76,FF,7B,00
3A,73,04,64,75,FF,7B,00
42,73,04,64,74,FF,7B,00
4A,73,04,64,73,FF,7B,00
52,73,04,64,71,FF,7C,00
5A,73,04,64,70,FF,7C,00
62,73,04,64,72,FF,79,00
6A,73,04,64,71,FF,79,00
72,73,04,64,6F,FF,7A,00
7A,73,04,64,6E,FF,7A,00
02,73,04,64,7F,FF,78,00
0A,73,04,64,7E,FF,78,00
12,73,04,64,7B,FF,7A,00
1A,73,04,64,7A,FF,7A,00
32,73,04,64,77,FF,7A,00
3A,73,04,64,76,FF,7A,00
42,73,04,64,76,FF,79,00
4A,73,04,64,75,FF,79,00
52,73,04,64,74,FF,79,00
5A,73,04,64,73,FF,79,00
72,73,04,64,70,FF,79,00
7A,73,04,64,6F,FF,79,00
02,73,04,64,7E,FF,79,00
0A,73,04,64,7D,FF,79,00
12,73,04,64,7A,FF,7B,00
1A,73,04,64,79,FF,7B,00
32,73,04,64,75,FF,7C,00
3A,73,04,64,74,FF,7C,00
42,73,04,64,72,FF,7D,00
4A,73,04,64,71,FF,7D,00
52,73,04,64,70,FF,7D,00
5A,73,04,64,6F,FF,7D,00
62,73,04,64,6D,FF,7E,00
6A,73,04,64,6C,FF,7E,00
72,73,04,64,6A,FF,7F,00
7A,73,04,64,69,FF,7F,00
02,73,04,64,77,FF,80,00
0A,73,04,64,76,FF,80,00
12,73,04,64,75,FF,80,00
1A,73,04,64,74,FF,80,00
22,73,04,64,72,FF,81,00
2A,73,04,64,71,FF,81,00
32,73,04,64,70,FF,81,00
3A,73,04,64,6F,FF,81,00
42,73,04,64,6F,FF,80,00
4A,73,04,64,6E,FF,80,00
52,73,04,64,6A,FF,83,00
5A,73,04,64,69,FF,83,00
62,73,04,64,69,FF,82,00
6A,73,04,64,68,FF,82,00
72,73,04,64,68,FF,81,00
7A,73,04,64,67,FF,81,00
02,73,04,64,73,FF,84,00
0A,73,04,64,72,FF,84,00
12,73,04,64,72,FF,83,00
1A,73,04,64,71,FF,83,00
22,73,04,64,70,FF,83,00
2A,73,04,64,6F,FF,83,00
32,73,04,64,6B,FF,86,00
3A,73,04,64,6A,FF,86,00
42,73,04,64,6A,FF,85,00
4A,73,04,64,69,FF,85,00
52,73,04,64,67,FF,86,00
5A,73,04,64,66,FF,86,00
62,73,04,64,65,FF,86,00
6A,73,04,64,64,FF,86,00
72,73,04,64,63,FF,86,00
7A,73,04,64,62,FF,86,00
02,73,04,64,71,FF,86,00
0A,73,04,64,70,FF,86,00
12,73,04,64,6F,FF,86,00
1A,73,04,64,6E,FF,86,00
22,73,04,64,6D,FF,86,00
2A,73,04,64,6C,FF,86,00
32,73,04,64,6A,FF,87,00
3A,73,04,64,69,FF,87,00
42,73,04,64,68,FF,87,00
4A,73,04,64,67,FF,87,00
52,73,04,64,65,FF,88,00
5A,73,04,64,64,FF,88,00
62,73,04,64,64,FF,87,00
6A,73,04,64,63,FF,87,00
72,73,04,64,61,FF,88,00
7A,73,04,64,60,FF,88,00
02,73,04,64,6F,FF,88,00
0A,73,04,64,6E,FF,88,00
12,73,04,64,6C,FF,89,00
1A,73,04,64,6B,FF,89,00
22,73,04,64,6B,FF,88,00
2A,73,04,64,6A,FF,88,00
32,73,04,64,69,FF,88,00
3A,73,04,64,68,FF,88,00
42,73,04,64,67,FF,88,00
4A,73,04,64,66,FF,88,00
42,73,04,64,66,FF,89,00
4A,73,04,64,65,FF,89,00
52,73,04,64,63,FF,8A,00
5A,73,04,64,62,FF,8A,00
62,73,04,64,60,FF,8B,00
6A,73,04,64,5F,FF,8B,00
72,73,04,64,5D,FF,8C,00
7A,73,04,64,5C,FF,8C,00
02,73,04,64,6B,FF,8C,00
0A,73,04,64,6A,FF,8C,00
12,73,04,64,68,FF,8D,00
1A,73,04,64,67,FF,8D,00
22,73,04,64,66,FF,8D,00
2A,73,04,64,65,FF,8D,00
32,73,04,64,63,FF,8E,00
3A,73,04,64,62,FF,8E,00
42,73,04,64,5F,FF,90,00
4A,73,04,64,5E,FF,90,00
52,73,04,64,5C,FF,91,00
5A,73,04,64,5B,FF,91,00
62,73,04,64,59,FF,92,00
6A,73,04,64,58,FF,92,00
72,73,04,64,56,FF,93,00
7A,73,04,64,55,FF,93,00
02,73,04,64,64,FF,93,00
0A,73,04,64,63,FF,93,00
12,73,04,64,61,FF,94,00
1A,73,04,64,60,FF,94,00
22,73,04,64,5F,FF,94,00
2A,73,04,64,5E,FF,94,00
32,73,04,64,5C,FF,95,00
3A,73,04,64,5B,FF,95,00
42,73,04,64,5C,FF,93,00
4A,73,04,64,5B,FF,93,00
52,73,04,64,5A,FF,93,00
5A,73,04,64,59,FF,93,00
72,73,04,64,58,FF,91,00
7A,73,04,64,57,FF,91,00
02,73,04,64,65,FF,92,00
0A,73,04,64,64,FF,92,00
12,73,04,64,65,FF,90,00
1A,73,04,64,64,FF,90,00
22,73,04,64,63,FF,90,00
2A,73,04,64,62,FF,90,00
32,73,04,64,60,FF,91,00
3A,73,04,64,5F,FF,91,00
42,73,04,64,5E,FF,91,00
4A,73,04,64,5D,FF,91,00
72,73,04,64,57,FF,92,00
7A,73,04,64,56,FF,92,00
02,73,04,64,63,FF,94,00
0A,73,04,64,62,FF,94,00
12,73,04,64,62,FF,93,00
1A,73,04,64,61,FF,93,00
22,73,04,64,5E,FF,95,00
2A,73,04,64,5D,FF,95,00
32,73,04,64,5B,FF,96,00
3A,73,04,64,5A,FF,96,00
42,73,04,64,59,FF,96,00
4A,73,04,64,58,FF,96,00
52,73,04,64,56,FF,97,00
5A,73,04,64,55,FF,97,00
